id;title;description;google_product_category;link;image_link;additional_image_link;availability;price;sale_price;brand
r2u_prd2232;[무로] 발거스본 패치;하루종일 고생하는 내 다리와 발을 위해!;436;https://st1.random2u.com/api/product/info/2232;https://st1.random2u.com/uploads/2020/10/12/19/58/6633d1c5c8af284e20fdb9945f95c7fc.jpg;;in stock;10580;5000;
r2u_prd2233;[폴메디슨] 시그니처 바디워시 베이비파우더향;은은한 향과 오래가는 촉촉함! #폴메디슨 ;436;https://st1.random2u.com/api/product/info/2233;https://st1.random2u.com/uploads/2020/10/12/18/29/e940024f2313bc4de049fb902da4d2a3.jpg;;in stock;11500;5000;
r2u_prd2234;[더마퀸] 쿠션 클렌징브러쉬 피지도둑;클렌징/세안 아직도 손으로 하시나요?!;436;https://st1.random2u.com/api/product/info/2234;https://st1.random2u.com/uploads/2020/10/13/14/09/ea7a7791f8eff4c45941643388d320ad.jpg;;in stock;14900;5000;
r2u_prd2235;[레토] 3in1다용도 캠핑 LED 랜턴 LPL-B03;캠핑갈 때 딱이야~!;604;https://st1.random2u.com/api/product/info/2235;https://st1.random2u.com/uploads/2020/10/22/15/21/4e3d409094bbf080ffd1c2de049050da.jpg;;in stock;12900;5000;레토
r2u_prd2236;[인테이크] 모닝죽 꿀고구마 7개입;아침을 시작하는 힘 자극적인 단맛이 없어 깔끔한 인테이크 모닝죽 꿀고구마;412;https://st1.random2u.com/api/product/info/2236;https://st1.random2u.com/uploads/2020/10/27/14/38/806b19a77c3e3c5395257b6b0e5d9eab.jpg;;in stock;16800;5000;인테이크
r2u_prd2237;[인테이크] 모닝죽 단호박 7개입;아침을 시작하는 힘 차갑게 먹어도 맛있는 인테이크 모닝죽 단호박;412;https://st1.random2u.com/api/product/info/2237;https://st1.random2u.com/uploads/2020/10/27/14/29/9f6e40bc96dbda517c281302a2eb4383.jpg;;in stock;16800;5000;인테이크
r2u_prd2238;[인테이크] 모닝죽 알밤 7개입;아침을 시작하는 힘 인테이크 모닝죽 고소한 알밤;412;https://st1.random2u.com/api/product/info/2238;https://st1.random2u.com/uploads/2020/10/27/14/22/c868aaf150bb4c0d873476ccbb247e4f.jpg;;in stock;16800;5000;인테이크
r2u_prd2239;[레토] 스폰지밥 인디언 키즈텐트 SBT-K01;아이들이 너무 좋아하는 귀여운 텐트;537;https://st1.random2u.com/api/product/info/2239;https://st1.random2u.com/uploads/2020/10/22/15/14/8810b888945187aa0de8691a6e6f08d7.jpg;;in stock;47900;5000;레토
r2u_prd2240;[레토] 스폰지밥 차량용 백시트 수납 정리함 SBC-PK01;7가지 포켓으로 깔끔하게 수납하자;436;https://st1.random2u.com/api/product/info/2240;https://st1.random2u.com/uploads/2020/10/22/15/06/a06863b2792ba1d104bfa08c8f982eaa.jpg;;in stock;14900;5000;레토
r2u_prd2241;[라포그] 영양제 연어파우더 100g;연어 파우더로 강아지 골격 강화에 도움 줘요;1;https://st1.random2u.com/api/product/info/2241;https://st1.random2u.com/uploads/2020/11/12/09/29/dda15ba29315b8970c7c4ab799d22d30.png;;in stock;10000;5000;푸디웜
r2u_prd2242;[라포그] 영양제 황태파우더 100g;황태 영양제로 강아지 관절 보호해요;1;https://st1.random2u.com/api/product/info/2242;https://st1.random2u.com/uploads/2020/11/12/09/27/576e58bc92dec192fcb4ba254441d2e2.png;;in stock;10000;5000;푸디웜
r2u_prd2243;[라포그] 영양제 소간파우더 100g;고단백 고칼슘으로 강아지 영양보충해요;1;https://st1.random2u.com/api/product/info/2243;https://st1.random2u.com/uploads/2020/11/12/09/25/4e465080275eed9287481364b9aa3bd6.png;;in stock;10000;5000;푸디웜
